nation,missiles_used,others_cured,hordes_used,others_zombified,tzes_used,others_killed,hit_by_missiles,cured_by_others,hit_by_hordes,zombified_by_others,hit_by_tzes,killed_by_others,min_time
rock_akali_feldspar_granite,280,3552,0,0,0,0,4,4,1,41,0,0,5600
rock_andesite,281,3308,1,7,0,0,5,10,1,77,0,0,5640
rock_anorthosite,275,3350,1,22,0,0,4,4,1,54,0,0,5520
rock_aplite,272,3071,1,18,0,0,4,4,1,71,0,0,5460
rock_basalt,270,3768,0,0,0,0,5,5,1,31,0,0,5400
rock_basaltic_trachyandesite,246,3426,0,0,0,0,4,4,1,31,0,0,4920
rock_basanite,231,2931,0,0,0,0,3,3,1,61,0,0,4620
rock_blairmorite,228,3001,0,0,0,0,4,4,1,36,0,0,4560
rock_boninite,220,2755,0,0,0,0,7,27,1,66,0,0,4400
rock_dacite,88,1320,0,0,0,0,1,1,0,0,0,0,1760
rock_gabbro,0,0,0,0,0,0,1,1,0,0,0,0,0
rock_granodiorite,87,1536,0,0,0,0,2,2,0,0,0,0,1740
rock_hyaloclastite,92,1577,0,0,0,0,1,1,0,0,0,0,1840
rock_pegmatite,93,1512,0,0,0,0,2,2,0,0,0,0,1860
rock_porphyry,0,0,0,0,0,0,1,1,0,0,0,0,0
rock_rhyolite,0,0,0,0,0,0,1,1,0,0,0,0,0
rock_syenite,84,1352,0,0,0,0,4,4,0,0,0,0,1680
rock_trachybasalt,0,0,0,0,0,0,1,1,0,0,0,0,0
rodamus_prime,0,0,0,0,0,0,25,1269,0,0,0,0,0
roless,0,0,0,0,0,0,47,7705,0,0,0,0,0
ronimbonland,0,0,1,39,0,0,0,0,0,0,0,0,20
ruinenlust,334,50335,0,0,0,0,209,7982,0,0,0,0,6680
russet_haven,572,40549,0,0,0,0,231,6347,0,0,0,0,11440
sable_haven,558,40641,0,0,0,0,220,5782,0,0,0,0,11160
safrinin,0,0,0,0,0,0,26,1606,0,0,0,0,0
safugnaf,362,96861,24,137,24,847,302,43000,266,22155,28,252,8200
saint_dolmance,0,0,0,0,0,0,18,1147,0,0,0,0,0
san_femetreate,0,0,0,0,0,0,2,22,0,0,0,0,0
santichushari,0,0,0,0,0,0,100,1580,0,0,0,0,0
saratova,0,0,0,0,0,0,57,149,0,0,0,0,0
seagull,0,0,0,0,0,0,55,6279,0,0,0,0,0
sean_fiobha,0,0,0,0,0,0,23,1596,0,0,0,0,0
sehir,0,0,0,0,0,0,6,66,0,0,0,0,0
septemus,0,0,0,0,0,0,7,104,0,0,0,0,0
shadowwood,0,0,0,0,0,0,113,1137,3,47,0,0,0
shalotte,0,0,0,0,0,0,108,22569,0,0,0,0,0
shanlix,120,21569,0,0,0,0,126,663,0,0,0,0,2400
shauls,0,0,0,0,0,0,21,1391,0,0,0,0,0
shimerta,0,0,0,0,0,0,56,5407,0,0,0,0,0
shinrogia,2,108,0,0,0,0,58,8607,0,0,0,0,40
shwe_tu_colony,42,684,0,0,0,0,93,14266,0,0,0,0,840
sindria,0,0,9,5106,0,0,3,1069,0,0,0,0,180
siornor,860,159309,1,520,1,56,237,18413,0,0,0,0,17240
